Inference,Device,Model
"9.49221611023
",Mobile,ResNet
"9.48228597641
",Mobile,ResNet
"9.65859103203
",Mobile,ResNet
"16.0004749298
",Mobile,ResNet
"9.79734992981
",Mobile,ResNet
"7.34471702576
",Mobile,ResNet
"20.7285461426
",Mobile,ResNet
"8.04383993149
",Mobile,ResNet
"9.21935486794
",Mobile,ResNet
"7.93072986603
",Mobile,ResNet
"10.8142478466
",Mobile,ResNet
"8.41896295547
",Mobile,ResNet
"8.52162194252
",Mobile,ResNet
"8.99803805351
",Mobile,ResNet
"15.7039110661
",Mobile,ResNet
"16.444685936
",Mobile,ResNet
"9.0009958744
",Mobile,ResNet
"14.2994520664
",Mobile,ResNet
"7.85930299759
",Mobile,ResNet
"7.28608894348
",Mobile,ResNet
"11.3263289928
",Mobile,ResNet
"9.53644585609
",Mobile,ResNet
"9.75375413895
",Mobile,ResNet
"11.0416638851
",Mobile,ResNet
"9.43157887459
",Mobile,ResNet
"7.5513420105
",Mobile,ResNet
"7.82831907272
",Mobile,ResNet
"8.04199385643
",Mobile,ResNet
"7.93678402901
",Mobile,ResNet
"8.66422891617
",Mobile,ResNet
"8.70008897781
",Mobile,ResNet
"8.10971903801
",Mobile,ResNet
"14.1121060848
",Mobile,ResNet
"7.98595690727
",Mobile,ResNet
"7.79938697815
",Mobile,ResNet
"7.99818110466
",Mobile,ResNet
"14.7767329216
",Mobile,ResNet
"7.87767696381
",Mobile,ResNet
"8.12578582764
",Mobile,ResNet
"9.14118695259
",Mobile,ResNet
"24.2438209057
",Mobile,ResNet
"10.2363710403
",Mobile,ResNet
"12.0001881123
",Mobile,ResNet
"10.1518750191
",Mobile,ResNet
"16.50238204
",Mobile,ResNet
"8.6334130764
",Mobile,ResNet
"12.9211139679
",Mobile,ResNet
"8.94785118103
",Mobile,ResNet
"13.1082081795
",Mobile,ResNet
"10.1827669144
",Mobile,ResNet
"8.2614300251
",Mobile,ResNet
"12.7836668491
",Mobile,ResNet
"8.61471104622
",Mobile,ResNet
"10.253210783
",Mobile,ResNet
"7.41423892975
",Mobile,ResNet
"9.15566110611
",Mobile,ResNet
"7.37730693817
",Mobile,ResNet
"25.3259420395
",Mobile,ResNet
"7.72490596771
",Mobile,ResNet
"7.92414617538
",Mobile,ResNet
"8.86571002007
",Mobile,ResNet
"7.67932510376
",Mobile,ResNet
"8.75039815903
",Mobile,ResNet
"7.96065306664
",Mobile,ResNet
"9.02622389793
",Mobile,ResNet
"7.94804811478
",Mobile,ResNet
"9.06204104424
",Mobile,ResNet
"12.7854950428
",Mobile,ResNet
"16.5009770393
",Mobile,ResNet
"8.75720405579
",Mobile,ResNet
"26.0725200176
",Mobile,ResNet
"9.40274500847
",Mobile,ResNet
"8.0973341465
",Mobile,ResNet
"8.63662290573
",Mobile,ResNet
"11.6781308651
",Mobile,ResNet
"7.91392803192
",Mobile,ResNet
"10.8178880215
",Mobile,ResNet
"8.11349606514
",Mobile,ResNet
"7.96670794487
",Mobile,ResNet
"8.34199810028
",Mobile,ResNet
"7.9294719696
",Mobile,ResNet
"14.9635100365
",Mobile,ResNet
"12.0638740063
",Mobile,ResNet
"7.66553711891
",Mobile,ResNet
"19.7958388329
",Mobile,ResNet
"18.403605938
",Mobile,ResNet
"8.48507809639
",Mobile,ResNet
"10.8164029121
",Mobile,ResNet
"8.74454116821
",Mobile,ResNet
"8.32534122467
",Mobile,ResNet
"11.1905171871
",Mobile,ResNet
"7.8516869545
",Mobile,ResNet
"7.62160897255
",Mobile,ResNet
"13.5279798508
",Mobile,ResNet
"13.8598778248
",Mobile,ResNet
"8.47130703926
",Mobile,ResNet
"11.1206331253
",Mobile,ResNet
"9.05549407005
",Mobile,ResNet
"8.5345389843
",Mobile,ResNet
"8.24709701538
",Mobile,ResNet
"9.31837415695
",Mobile,ResNet
"8.2992939949
",Mobile,ResNet
"10.5233809948
",Mobile,ResNet
"10.2502441406
",Mobile,ResNet
"14.002918005
",Mobile,ResNet
"7.47163391113
",Mobile,ResNet
"8.68087697029
",Mobile,ResNet
"9.85227298737
",Mobile,ResNet
"12.0321948528
",Mobile,ResNet
"8.57946610451
",Mobile,ResNet
"18.7562639713
",Mobile,ResNet
"16.4839279652
",Mobile,ResNet
"8.20537209511
",Mobile,ResNet
"8.30296206474
",Mobile,ResNet
"8.33505582809
",Mobile,ResNet
"7.78578805923
",Mobile,ResNet
"12.3886809349
",Mobile,ResNet
"10.8539419174
",Mobile,ResNet
"11.0387248993
",Mobile,ResNet
"9.01986789703
",Mobile,ResNet
"17.8696100712
",Mobile,ResNet
"18.8869180679
",Mobile,ResNet
"7.69196915627
",Mobile,ResNet
"8.23496103287
",Mobile,ResNet
"12.0790688992
",Mobile,ResNet
"8.80102205276
",Mobile,ResNet
"7.6750729084
",Mobile,ResNet
"8.68675303459
",Mobile,ResNet
"8.5363650322
",Mobile,ResNet
"10.2222568989
",Mobile,ResNet
"8.04094600677
",Mobile,ResNet
"16.3086330891
",Mobile,ResNet
"9.10356402397
",Mobile,ResNet
"11.2375950813
",Mobile,ResNet
"10.1690261364
",Mobile,ResNet
"9.22926712036
",Mobile,ResNet
"9.30915403366
",Mobile,ResNet
"9.34766077995
",Mobile,ResNet
"9.22166419029
",Mobile,ResNet
"7.88882493973
",Mobile,ResNet
"16.7915811539
",Mobile,ResNet
"9.21225714684
",Mobile,ResNet
"9.50110197067
",Mobile,ResNet
"21.0984940529
",Mobile,ResNet
"9.76293492317
",Mobile,ResNet
"8.33026003838
",Mobile,ResNet
"8.99138212204
",Mobile,ResNet
"10.1349411011
",Mobile,ResNet
"8.60310220718
",Mobile,ResNet
"6.95441484451
",Mobile,ResNet
"7.98630404472
",Mobile,ResNet
"8.25193810463
",Mobile,ResNet
"8.23699903488
",Mobile,ResNet
"9.67717504501
",Mobile,ResNet
"13.6044769287
",Mobile,ResNet
"7.84256410599
",Mobile,ResNet
"9.2529540062
",Mobile,ResNet
"10.3422458172
",Mobile,ResNet
"8.69238495827
",Mobile,ResNet
"7.74163508415
",Mobile,ResNet
"8.00952291489
",Mobile,ResNet
"13.2920818329
",Mobile,ResNet
"7.39682817459
",Mobile,ResNet
"11.6271679401
",Mobile,ResNet
"7.31363797188
",Mobile,ResNet
"9.7647588253
",Mobile,ResNet
"8.27594709396
",Mobile,ResNet
"12.0360410213
",Mobile,ResNet
"9.16130208969
",Mobile,ResNet
"8.54205799103
",Mobile,ResNet
"8.06770586967
",Mobile,ResNet
"7.30858683586
",Mobile,ResNet
"7.98914003372
",Mobile,ResNet
"7.55061101913
",Mobile,ResNet
"9.03571510315
",Mobile,ResNet
"9.4484500885
",Mobile,ResNet
"15.2988579273
",Mobile,ResNet
"7.25037097931
",Mobile,ResNet
"8.49861097336
",Mobile,ResNet
"8.77426505089
",Mobile,ResNet
"9.50127887726
",Mobile,ResNet
"20.1933338642
",Mobile,ResNet
"15.2095761299
",Mobile,ResNet
"7.9737341404
",Mobile,ResNet
"7.46758413315
",Mobile,ResNet
"8.49413394928
",Mobile,ResNet
"12.3027629852
",Mobile,ResNet
"11.3048238754
",Mobile,ResNet
"8.86927103996
",Mobile,ResNet
"10.4085309505
",Mobile,ResNet
"8.74038481712
",Mobile,ResNet
"7.91744804382
",Mobile,ResNet
"7.7951631546
",Mobile,ResNet
"7.8272190094
",Mobile,ResNet
"16.6238980293
",Mobile,ResNet
"9.179063797
",Mobile,ResNet
"7.10786318779
",Mobile,ResNet
"8.45767807961
",Mobile,ResNet
"7.92206406593
",Mobile,ResNet
"7.38101315498
",Mobile,ResNet
"8.29279613495
",Mobile,ResNet
"10.7654299736
",Mobile,ResNet
"16.6953070164
",Mobile,ResNet
"10.4216809273
",Mobile,ResNet
"8.71942400932
",Mobile,ResNet
"15.3433852196
",Mobile,ResNet
"16.3210971355
",Mobile,ResNet
"9.84220600128
",Mobile,ResNet
"19.1107990742
",Mobile,ResNet
"9.53996109962
",Mobile,ResNet
"9.18008208275
",Mobile,ResNet
"28.367151022
",Mobile,ResNet
"8.2005739212
",Mobile,ResNet
"17.4160578251
",Mobile,ResNet
"8.78107905388
",Mobile,ResNet
"10.6859529018
",Mobile,ResNet
"8.47933220863
",Mobile,ResNet
"8.25455904007
",Mobile,ResNet
"8.62759304047
",Mobile,ResNet
